"name","subcategory","rating","number_of_reviews"
"I will setup your live stream","Development for StreamersNew","5.0",1
"I will create a VR game for you with unity and awesome tools","Game Development","5.0",8
"I will code sql,plsql,linux,unix bash shell scripts, powershell","Databases","5.0",1
"I will create automation test for your web and mobile app","QA","5.0",4
"I will create or modify professional microsoft access database","Databases","5.0",8
"I will test your IOS and android games or apps","User Testing","5.0",1
"I will make wordpress woocommerce store or shopify store for you","E-Commerce Development","5.0",2
"I will develop java, javafx programming and gui projects","Desktop Applications","5.0",9
"I will help you build and administrate your salesforce","Support & IT","5.0",2
"I will do manual and automation testing","QA","5.0",3
"I will test your website and give feedback","User Testing","5.0",2
"I will audit your ecommerce site or app and suggest UX improvements","User Testing","5.0",1
"I will provide cybersecurity and devops services","Cybersecurity & Data ProtectionNew","5.0",5
"I will test and review with UX audit your website or app","User Testing","5.0",1
"I will develop or customize oracle application with oracle database","Databases","5.0",1
"I will code ninjatrader, pinescript, tradingview indicator and stock trading bot","Desktop Applications","5.0",4
"I will deploy scalable bigbluebutton clusters","Support & IT","5.0",7
"I will develop stunning apps for your needs","Mobile Apps","5.0",4
"I will diagnose bugs on your wordpress site","WordPress","5.0",3
"I will conduct user testing and reviews for your website or app","User Testing","5.0",1
"I will teach you how to get the most from your google drive or g suite","Online Coding LessonsNew","5.0",3
"I will make an external vulnerability scan for your network","Cybersecurity & Data ProtectionNew","5.0",2
"I will test and QA your Storyline module","User Testing","5.0",1
"I will provide complete, invoicing, billing, management system, CRM","Desktop Applications","5.0",4
"I will design and build your database in mysql or mariadb","Databases","5.0",4
"I will help you set up your streaming setup","Development for StreamersNew","5.0",2
"I will provide splunk development, support and training services","Data Analysis & Reports","5.0",5
"I will develop you react native, hybrid, xamarin flutter cordova,phonegap mobile app","Mobile Apps","5.0",3
"I will make your excel spreadsheets smarter and easier to use","Data Analysis & Reports","5.0",2
"I will test your website functionality,responsive,qa complete site","QA","5.0",4
"I will install and configure windows server and domain controller","Support & IT","5.0",5
"I will professionally test and review your game","User Testing","5.0",4
"I will help you to setup your stream lag free","Development for StreamersNew","5.0",8
"I will do a custom made indicator to ninjatrader","Desktop Applications","5.0",3
"I will build you or your business an alexa skill","Chatbots","5.0",8
"I will train you on microsoft azure cloud az 104, az 900,az 500,az 300","Support & IT","5.0",4
"I will create a manager and moderator telegram bot for your group","Chatbots","5.0",6
"Our studio will design and develop custom wordpress websites with SEO","WordPress","5.0",3
